"","rfs","inc","eth","age","bcg","yse","mean","sd"
"691","Contact","<40","Black African or Caribbean","(55,100]","(Missing)","(5,10]",0.357,0.049
"692","Migrant","<40","Black African or Caribbean","(55,100]","(Missing)","(5,10]",0.271,0.051
"693","Contact","41-100","Black African or Caribbean","(55,100]","(Missing)","(5,10]",0.46,0.055
"694","Migrant","41-100","Black African or Caribbean","(55,100]","(Missing)","(5,10]",0.364,0.058
"695","Contact","100-300","Black African or Caribbean","(55,100]","(Missing)","(5,10]",0.595,0.043
"696","Migrant","100-300","Black African or Caribbean","(55,100]","(Missing)","(5,10]",0.496,0.055
"697","Contact",">300","Black African or Caribbean","(55,100]","(Missing)","(5,10]",0.534,0.053
"698","Migrant",">300","Black African or Caribbean","(55,100]","(Missing)","(5,10]",0.435,0.06
"699","Contact","(Missing)","Black African or Caribbean","(55,100]","(Missing)","(5,10]",0.699,0.047
"700","Migrant","(Missing)","Black African or Caribbean","(55,100]","(Missing)","(5,10]",0.608,0.064
"701","Contact","<40","South Asian","(55,100]","(Missing)","(5,10]",0.272,0.039
"702","Migrant","<40","South Asian","(55,100]","(Missing)","(5,10]",0.2,0.037
"703","Contact","41-100","South Asian","(55,100]","(Missing)","(5,10]",0.365,0.048
"704","Migrant","41-100","South Asian","(55,100]","(Missing)","(5,10]",0.278,0.046
"705","Contact","100-300","South Asian","(55,100]","(Missing)","(5,10]",0.498,0.038
"706","Migrant","100-300","South Asian","(55,100]","(Missing)","(5,10]",0.398,0.044
"707","Contact",">300","South Asian","(55,100]","(Missing)","(5,10]",0.436,0.051
"708","Migrant",">300","South Asian","(55,100]","(Missing)","(5,10]",0.341,0.052
"709","Contact","(Missing)","South Asian","(55,100]","(Missing)","(5,10]",0.611,0.049
"710","Migrant","(Missing)","South Asian","(55,100]","(Missing)","(5,10]",0.512,0.06
"711","Contact","<40","Other","(55,100]","(Missing)","(5,10]",0.312,0.042
"712","Migrant","<40","Other","(55,100]","(Missing)","(5,10]",0.234,0.045
"713","Contact","41-100","Other","(55,100]","(Missing)","(5,10]",0.412,0.049
"714","Migrant","41-100","Other","(55,100]","(Missing)","(5,10]",0.319,0.051
"715","Contact","100-300","Other","(55,100]","(Missing)","(5,10]",0.547,0.041
"716","Migrant","100-300","Other","(55,100]","(Missing)","(5,10]",0.446,0.052
"717","Contact",">300","Other","(55,100]","(Missing)","(5,10]",0.485,0.052
"718","Migrant",">300","Other","(55,100]","(Missing)","(5,10]",0.387,0.058
"719","Contact","(Missing)","Other","(55,100]","(Missing)","(5,10]",0.656,0.047
"720","Migrant","(Missing)","Other","(55,100]","(Missing)","(5,10]",0.56,0.063
"721","Contact","<40","White","(15,35]","No","(10,100]",0.172,0.024
"722","Migrant","<40","White","(15,35]","No","(10,100]",0.123,0.027
"723","Contact","41-100","White","(15,35]","No","(10,100]",0.243,0.031
"724","Migrant","41-100","White","(15,35]","No","(10,100]",0.178,0.034
"725","Contact","100-300","White","(15,35]","No","(10,100]",0.356,0.032
"726","Migrant","100-300","White","(15,35]","No","(10,100]",0.271,0.043
"727","Contact",">300","White","(15,35]","No","(10,100]",0.302,0.04
"728","Migrant",">300","White","(15,35]","No","(10,100]",0.226,0.044
"729","Contact","(Missing)","White","(15,35]","No","(10,100]",0.468,0.048
"730","Migrant","(Missing)","White","(15,35]","No","(10,100]",0.371,0.061
"731","Contact","<40","Black African or Caribbean","(15,35]","No","(10,100]",0.215,0.028
"732","Migrant","<40","Black African or Caribbean","(15,35]","No","(10,100]",0.156,0.03
"733","Contact","41-100","Black African or Caribbean","(15,35]","No","(10,100]",0.297,0.037
"734","Migrant","41-100","Black African or Caribbean","(15,35]","No","(10,100]",0.221,0.038
"735","Contact","100-300","Black African or Caribbean","(15,35]","No","(10,100]",0.422,0.034
"736","Migrant","100-300","Black African or Caribbean","(15,35]","No","(10,100]",0.328,0.044
"737","Contact",">300","Black African or Caribbean","(15,35]","No","(10,100]",0.363,0.04
"738","Migrant",">300","Black African or Caribbean","(15,35]","No","(10,100]",0.276,0.045
"739","Contact","(Missing)","Black African or Caribbean","(15,35]","No","(10,100]",0.537,0.05
"740","Migrant","(Missing)","Black African or Caribbean","(15,35]","No","(10,100]",0.437,0.063
"741","Contact","<40","South Asian","(15,35]","No","(10,100]",0.155,0.02
"742","Migrant","<40","South Asian","(15,35]","No","(10,100]",0.11,0.02
"743","Contact","41-100","South Asian","(15,35]","No","(10,100]",0.221,0.028
"744","Migrant","41-100","South Asian","(15,35]","No","(10,100]",0.16,0.027
"745","Contact","100-300","South Asian","(15,35]","No","(10,100]",0.329,0.023
"746","Migrant","100-300","South Asian","(15,35]","No","(10,100]",0.247,0.029
"747","Contact",">300","South Asian","(15,35]","No","(10,100]",0.277,0.035
"748","Migrant",">300","South Asian","(15,35]","No","(10,100]",0.204,0.034
"749","Contact","(Missing)","South Asian","(15,35]","No","(10,100]",0.438,0.045
"750","Migrant","(Missing)","South Asian","(15,35]","No","(10,100]",0.343,0.052
"751","Contact","<40","Other","(15,35]","No","(10,100]",0.183,0.024
"752","Migrant","<40","Other","(15,35]","No","(10,100]",0.131,0.027
"753","Contact","41-100","Other","(15,35]","No","(10,100]",0.257,0.032
"754","Migrant","41-100","Other","(15,35]","No","(10,100]",0.189,0.033
"755","Contact","100-300","Other","(15,35]","No","(10,100]",0.374,0.033
"756","Migrant","100-300","Other","(15,35]","No","(10,100]",0.286,0.042
"757","Contact",">300","Other","(15,35]","No","(10,100]",0.318,0.04
"758","Migrant",">300","Other","(15,35]","No","(10,100]",0.239,0.043
"759","Contact","(Missing)","Other","(15,35]","No","(10,100]",0.487,0.05
"760","Migrant","(Missing)","Other","(15,35]","No","(10,100]",0.389,0.061
"761","Contact","<40","White","(35,55]","No","(10,100]",0.227,0.029
"762","Migrant","<40","White","(35,55]","No","(10,100]",0.165,0.033
"763","Contact","41-100","White","(35,55]","No","(10,100]",0.312,0.035
"764","Migrant","41-100","White","(35,55]","No","(10,100]",0.233,0.039
"765","Contact","100-300","White","(35,55]","No","(10,100]",0.439,0.034
"766","Migrant","100-300","White","(35,55]","No","(10,100]",0.343,0.047
"767","Contact",">300","White","(35,55]","No","(10,100]",0.379,0.045
"768","Migrant",">300","White","(35,55]","No","(10,100]",0.291,0.05
"769","Contact","(Missing)","White","(35,55]","No","(10,100]",0.553,0.048
"770","Migrant","(Missing)","White","(35,55]","No","(10,100]",0.453,0.063
"771","Contact","<40","Black African or Caribbean","(35,55]","No","(10,100]",0.279,0.035
"772","Migrant","<40","Black African or Caribbean","(35,55]","No","(10,100]",0.206,0.038
"773","Contact","41-100","Black African or Caribbean","(35,55]","No","(10,100]",0.374,0.043
"774","Migrant","41-100","Black African or Caribbean","(35,55]","No","(10,100]",0.286,0.045
"775","Contact","100-300","Black African or Caribbean","(35,55]","No","(10,100]",0.507,0.037
"776","Migrant","100-300","Black African or Caribbean","(35,55]","No","(10,100]",0.408,0.048
"777","Contact",">300","Black African or Caribbean","(35,55]","No","(10,100]",0.445,0.045
"778","Migrant",">300","Black African or Caribbean","(35,55]","No","(10,100]",0.35,0.051
"779","Contact","(Missing)","Black African or Caribbean","(35,55]","No","(10,100]",0.62,0.05
"780","Migrant","(Missing)","Black African or Caribbean","(35,55]","No","(10,100]",0.521,0.064
"781","Contact","<40","South Asian","(35,55]","No","(10,100]",0.206,0.026
"782","Migrant","<40","South Asian","(35,55]","No","(10,100]",0.148,0.026
"783","Contact","41-100","South Asian","(35,55]","No","(10,100]",0.286,0.035
"784","Migrant","41-100","South Asian","(35,55]","No","(10,100]",0.212,0.033
"785","Contact","100-300","South Asian","(35,55]","No","(10,100]",0.409,0.028
"786","Migrant","100-300","South Asian","(35,55]","No","(10,100]",0.316,0.034
"787","Contact",">300","South Asian","(35,55]","No","(10,100]",0.351,0.042
"788","Migrant",">300","South Asian","(35,55]","No","(10,100]",0.266,0.041
"789","Contact","(Missing)","South Asian","(35,55]","No","(10,100]",0.523,0.047
"790","Migrant","(Missing)","South Asian","(35,55]","No","(10,100]",0.424,0.056
"791","Contact","<40","Other","(35,55]","No","(10,100]",0.24,0.03
"792","Migrant","<40","Other","(35,55]","No","(10,100]",0.176,0.033
"793","Contact","41-100","Other","(35,55]","No","(10,100]",0.328,0.038
"794","Migrant","41-100","Other","(35,55]","No","(10,100]",0.247,0.039
"795","Contact","100-300","Other","(35,55]","No","(10,100]",0.457,0.036
"796","Migrant","100-300","Other","(35,55]","No","(10,100]",0.361,0.046
"797","Contact",">300","Other","(35,55]","No","(10,100]",0.397,0.045
"798","Migrant",">300","Other","(35,55]","No","(10,100]",0.306,0.049
"799","Contact","(Missing)","Other","(35,55]","No","(10,100]",0.572,0.05
"800","Migrant","(Missing)","Other","(35,55]","No","(10,100]",0.472,0.063
"801","Contact","<40","White","(55,100]","No","(10,100]",0.218,0.027
"802","Migrant","<40","White","(55,100]","No","(10,100]",0.158,0.031
"803","Contact","41-100","White","(55,100]","No","(10,100]",0.301,0.035
"804","Migrant","41-100","White","(55,100]","No","(10,100]",0.224,0.038
"805","Contact","100-300","White","(55,100]","No","(10,100]",0.427,0.034
"806","Migrant","100-300","White","(55,100]","No","(10,100]",0.333,0.045
"807","Contact",">300","White","(55,100]","No","(10,100]",0.367,0.044
"808","Migrant",">300","White","(55,100]","No","(10,100]",0.281,0.048
"809","Contact","(Missing)","White","(55,100]","No","(10,100]",0.541,0.047
"810","Migrant","(Missing)","White","(55,100]","No","(10,100]",0.441,0.061
"811","Contact","<40","Black African or Caribbean","(55,100]","No","(10,100]",0.269,0.034
"812","Migrant","<40","Black African or Caribbean","(55,100]","No","(10,100]",0.198,0.035
"813","Contact","41-100","Black African or Caribbean","(55,100]","No","(10,100]",0.362,0.043
"814","Migrant","41-100","Black African or Caribbean","(55,100]","No","(10,100]",0.276,0.043
"815","Contact","100-300","Black African or Caribbean","(55,100]","No","(10,100]",0.495,0.038
"816","Migrant","100-300","Black African or Caribbean","(55,100]","No","(10,100]",0.396,0.046
"817","Contact",">300","Black African or Caribbean","(55,100]","No","(10,100]",0.433,0.045
"818","Migrant",">300","Black African or Caribbean","(55,100]","No","(10,100]",0.339,0.049
"819","Contact","(Missing)","Black African or Caribbean","(55,100]","No","(10,100]",0.608,0.049
"820","Migrant","(Missing)","Black African or Caribbean","(55,100]","No","(10,100]",0.509,0.063
"821","Contact","<40","South Asian","(55,100]","No","(10,100]",0.198,0.024
"822","Migrant","<40","South Asian","(55,100]","No","(10,100]",0.142,0.023
"823","Contact","41-100","South Asian","(55,100]","No","(10,100]",0.276,0.034
"824","Migrant","41-100","South Asian","(55,100]","No","(10,100]",0.204,0.031
"825","Contact","100-300","South Asian","(55,100]","No","(10,100]",0.397,0.027
"826","Migrant","100-300","South Asian","(55,100]","No","(10,100]",0.306,0.031
"827","Contact",">300","South Asian","(55,100]","No","(10,100]",0.34,0.041
"828","Migrant",">300","South Asian","(55,100]","No","(10,100]",0.256,0.039
"829","Contact","(Missing)","South Asian","(55,100]","No","(10,100]",0.511,0.046
"830","Migrant","(Missing)","South Asian","(55,100]","No","(10,100]",0.412,0.054
"831","Contact","<40","Other","(55,100]","No","(10,100]",0.231,0.028
"832","Migrant","<40","Other","(55,100]","No","(10,100]",0.168,0.03
"833","Contact","41-100","Other","(55,100]","No","(10,100]",0.317,0.036
"834","Migrant","41-100","Other","(55,100]","No","(10,100]",0.238,0.037
"835","Contact","100-300","Other","(55,100]","No","(10,100]",0.445,0.034
"836","Migrant","100-300","Other","(55,100]","No","(10,100]",0.349,0.043
"837","Contact",">300","Other","(55,100]","No","(10,100]",0.385,0.043
"838","Migrant",">300","Other","(55,100]","No","(10,100]",0.296,0.047
"839","Contact","(Missing)","Other","(55,100]","No","(10,100]",0.56,0.048
"840","Migrant","(Missing)","Other","(55,100]","No","(10,100]",0.46,0.061
"841","Contact","<40","White","(15,35]","Yes","(10,100]",0.124,0.02
"842","Migrant","<40","White","(15,35]","Yes","(10,100]",0.087,0.023
"843","Contact","41-100","White","(15,35]","Yes","(10,100]",0.179,0.025
"844","Migrant","41-100","White","(15,35]","Yes","(10,100]",0.128,0.028
"845","Contact","100-300","White","(15,35]","Yes","(10,100]",0.273,0.029
"846","Migrant","100-300","White","(15,35]","Yes","(10,100]",0.202,0.039
"847","Contact",">300","White","(15,35]","Yes","(10,100]",0.227,0.035
"848","Migrant",">300","White","(15,35]","Yes","(10,100]",0.166,0.039
"849","Contact","(Missing)","White","(15,35]","Yes","(10,100]",0.374,0.044
"850","Migrant","(Missing)","White","(15,35]","Yes","(10,100]",0.287,0.056
"851","Contact","<40","Black African or Caribbean","(15,35]","Yes","(10,100]",0.157,0.023
"852","Migrant","<40","Black African or Caribbean","(15,35]","Yes","(10,100]",0.112,0.026
"853","Contact","41-100","Black African or Caribbean","(15,35]","Yes","(10,100]",0.223,0.03
"854","Migrant","41-100","Black African or Caribbean","(15,35]","Yes","(10,100]",0.162,0.032
"855","Contact","100-300","Black African or Caribbean","(15,35]","Yes","(10,100]",0.331,0.031
"856","Migrant","100-300","Black African or Caribbean","(15,35]","Yes","(10,100]",0.249,0.041
"857","Contact",">300","Black African or Caribbean","(15,35]","Yes","(10,100]",0.279,0.035
"858","Migrant",">300","Black African or Caribbean","(15,35]","Yes","(10,100]",0.206,0.04
"859","Contact","(Missing)","Black African or Caribbean","(15,35]","Yes","(10,100]",0.44,0.047
"860","Migrant","(Missing)","Black African or Caribbean","(15,35]","Yes","(10,100]",0.346,0.059
"861","Contact","<40","South Asian","(15,35]","Yes","(10,100]",0.111,0.015
"862","Migrant","<40","South Asian","(15,35]","Yes","(10,100]",0.078,0.017
"863","Contact","41-100","South Asian","(15,35]","Yes","(10,100]",0.162,0.022
"864","Migrant","41-100","South Asian","(15,35]","Yes","(10,100]",0.115,0.022
"865","Contact","100-300","South Asian","(15,35]","Yes","(10,100]",0.249,0.019
"866","Migrant","100-300","South Asian","(15,35]","Yes","(10,100]",0.182,0.027
"867","Contact",">300","South Asian","(15,35]","Yes","(10,100]",0.206,0.028
"868","Migrant",">300","South Asian","(15,35]","Yes","(10,100]",0.149,0.029
"869","Contact","(Missing)","South Asian","(15,35]","Yes","(10,100]",0.346,0.038
"870","Migrant","(Missing)","South Asian","(15,35]","Yes","(10,100]",0.262,0.046
"871","Contact","<40","Other","(15,35]","Yes","(10,100]",0.132,0.02
"872","Migrant","<40","Other","(15,35]","Yes","(10,100]",0.093,0.022
"873","Contact","41-100","Other","(15,35]","Yes","(10,100]",0.19,0.026
"874","Migrant","41-100","Other","(15,35]","Yes","(10,100]",0.137,0.028
"875","Contact","100-300","Other","(15,35]","Yes","(10,100]",0.288,0.029
"876","Migrant","100-300","Other","(15,35]","Yes","(10,100]",0.214,0.038
"877","Contact",">300","Other","(15,35]","Yes","(10,100]",0.241,0.034
"878","Migrant",">300","Other","(15,35]","Yes","(10,100]",0.176,0.037
"879","Contact","(Missing)","Other","(15,35]","Yes","(10,100]",0.392,0.045
"880","Migrant","(Missing)","Other","(15,35]","Yes","(10,100]",0.303,0.056
"881","Contact","<40","White","(35,55]","Yes","(10,100]",0.166,0.024
"882","Migrant","<40","White","(35,55]","Yes","(10,100]",0.119,0.028
"883","Contact","41-100","White","(35,55]","Yes","(10,100]",0.235,0.029
"884","Migrant","41-100","White","(35,55]","Yes","(10,100]",0.171,0.034
"885","Contact","100-300","White","(35,55]","Yes","(10,100]",0.346,0.031
"886","Migrant","100-300","White","(35,55]","Yes","(10,100]",0.262,0.044
"887","Contact",">300","White","(35,55]","Yes","(10,100]",0.293,0.039
"888","Migrant",">300","White","(35,55]","Yes","(10,100]",0.218,0.045
"889","Contact","(Missing)","White","(35,55]","Yes","(10,100]",0.457,0.045
"890","Migrant","(Missing)","White","(35,55]","Yes","(10,100]",0.361,0.06
"891","Contact","<40","Black African or Caribbean","(35,55]","Yes","(10,100]",0.208,0.029
"892","Migrant","<40","Black African or Caribbean","(35,55]","Yes","(10,100]",0.15,0.032
"893","Contact","41-100","Black African or Caribbean","(35,55]","Yes","(10,100]",0.288,0.036
"894","Migrant","41-100","Black African or Caribbean","(35,55]","Yes","(10,100]",0.214,0.039
"895","Contact","100-300","Black African or Caribbean","(35,55]","Yes","(10,100]",0.411,0.034
"896","Migrant","100-300","Black African or Caribbean","(35,55]","Yes","(10,100]",0.319,0.046
"897","Contact",">300","Black African or Caribbean","(35,55]","Yes","(10,100]",0.353,0.041
"898","Migrant",">300","Black African or Caribbean","(35,55]","Yes","(10,100]",0.268,0.046
"899","Contact","(Missing)","Black African or Caribbean","(35,55]","Yes","(10,100]",0.526,0.049
"900","Migrant","(Missing)","Black African or Caribbean","(35,55]","Yes","(10,100]",0.426,0.063
"901","Contact","<40","South Asian","(35,55]","Yes","(10,100]",0.15,0.02
"902","Migrant","<40","South Asian","(35,55]","Yes","(10,100]",0.106,0.021
"903","Contact","41-100","South Asian","(35,55]","Yes","(10,100]",0.214,0.027
"904","Migrant","41-100","South Asian","(35,55]","Yes","(10,100]",0.154,0.027
"905","Contact","100-300","South Asian","(35,55]","Yes","(10,100]",0.319,0.022
"906","Migrant","100-300","South Asian","(35,55]","Yes","(10,100]",0.239,0.031
"907","Contact",">300","South Asian","(35,55]","Yes","(10,100]",0.268,0.035
"908","Migrant",">300","South Asian","(35,55]","Yes","(10,100]",0.197,0.035
"909","Contact","(Missing)","South Asian","(35,55]","Yes","(10,100]",0.427,0.042
"910","Migrant","(Missing)","South Asian","(35,55]","Yes","(10,100]",0.333,0.051
"911","Contact","<40","Other","(35,55]","Yes","(10,100]",0.177,0.024
"912","Migrant","<40","Other","(35,55]","Yes","(10,100]",0.127,0.028
"913","Contact","41-100","Other","(35,55]","Yes","(10,100]",0.249,0.03
"914","Migrant","41-100","Other","(35,55]","Yes","(10,100]",0.182,0.033
"915","Contact","100-300","Other","(35,55]","Yes","(10,100]",0.364,0.032
"916","Migrant","100-300","Other","(35,55]","Yes","(10,100]",0.277,0.043
"917","Contact",">300","Other","(35,55]","Yes","(10,100]",0.309,0.039
"918","Migrant",">300","Other","(35,55]","Yes","(10,100]",0.231,0.044
"919","Contact","(Missing)","Other","(35,55]","Yes","(10,100]",0.476,0.047
"920","Migrant","(Missing)","Other","(35,55]","Yes","(10,100]",0.379,0.06
"921","Contact","<40","White","(55,100]","Yes","(10,100]",0.159,0.022
"922","Migrant","<40","White","(55,100]","Yes","(10,100]",0.113,0.026
"923","Contact","41-100","White","(55,100]","Yes","(10,100]",0.226,0.028
"924","Migrant","41-100","White","(55,100]","Yes","(10,100]",0.164,0.032
"925","Contact","100-300","White","(55,100]","Yes","(10,100]",0.335,0.03
"926","Migrant","100-300","White","(55,100]","Yes","(10,100]",0.253,0.042
"927","Contact",">300","White","(55,100]","Yes","(10,100]",0.283,0.038
"928","Migrant",">300","White","(55,100]","Yes","(10,100]",0.21,0.043
"929","Contact","(Missing)","White","(55,100]","Yes","(10,100]",0.445,0.043
"930","Migrant","(Missing)","White","(55,100]","Yes","(10,100]",0.35,0.058
"931","Contact","<40","Black African or Caribbean","(55,100]","Yes","(10,100]",0.2,0.027
"932","Migrant","<40","Black African or Caribbean","(55,100]","Yes","(10,100]",0.144,0.03
"933","Contact","41-100","Black African or Caribbean","(55,100]","Yes","(10,100]",0.278,0.035
"934","Migrant","41-100","Black African or Caribbean","(55,100]","Yes","(10,100]",0.206,0.037
"935","Contact","100-300","Black African or Caribbean","(55,100]","Yes","(10,100]",0.399,0.034
"936","Migrant","100-300","Black African or Caribbean","(55,100]","Yes","(10,100]",0.308,0.044
"937","Contact",">300","Black African or Caribbean","(55,100]","Yes","(10,100]",0.342,0.04
"938","Migrant",">300","Black African or Caribbean","(55,100]","Yes","(10,100]",0.258,0.044
"939","Contact","(Missing)","Black African or Caribbean","(55,100]","Yes","(10,100]",0.513,0.047
"940","Migrant","(Missing)","Black African or Caribbean","(55,100]","Yes","(10,100]",0.414,0.061
"941","Contact","<40","South Asian","(55,100]","Yes","(10,100]",0.143,0.018
"942","Migrant","<40","South Asian","(55,100]","Yes","(10,100]",0.101,0.019
"943","Contact","41-100","South Asian","(55,100]","Yes","(10,100]",0.206,0.026
"944","Migrant","41-100","South Asian","(55,100]","Yes","(10,100]",0.148,0.025
"945","Contact","100-300","South Asian","(55,100]","Yes","(10,100]",0.308,0.021
"946","Migrant","100-300","South Asian","(55,100]","Yes","(10,100]",0.23,0.028
"947","Contact",">300","South Asian","(55,100]","Yes","(10,100]",0.259,0.033
"948","Migrant",">300","South Asian","(55,100]","Yes","(10,100]",0.19,0.033
"949","Contact","(Missing)","South Asian","(55,100]","Yes","(10,100]",0.415,0.04
"950","Migrant","(Missing)","South Asian","(55,100]","Yes","(10,100]",0.322,0.048
"951","Contact","<40","Other","(55,100]","Yes","(10,100]",0.17,0.022
"952","Migrant","<40","Other","(55,100]","Yes","(10,100]",0.121,0.025
"953","Contact","41-100","Other","(55,100]","Yes","(10,100]",0.24,0.028
"954","Migrant","41-100","Other","(55,100]","Yes","(10,100]",0.175,0.031
"955","Contact","100-300","Other","(55,100]","Yes","(10,100]",0.352,0.029
"956","Migrant","100-300","Other","(55,100]","Yes","(10,100]",0.267,0.039
"957","Contact",">300","Other","(55,100]","Yes","(10,100]",0.298,0.037
"958","Migrant",">300","Other","(55,100]","Yes","(10,100]",0.222,0.041
"959","Contact","(Missing)","Other","(55,100]","Yes","(10,100]",0.464,0.044
"960","Migrant","(Missing)","Other","(55,100]","Yes","(10,100]",0.367,0.057
"961","Contact","<40","White","(15,35]","(Missing)","(10,100]",0.144,0.022
"962","Migrant","<40","White","(15,35]","(Missing)","(10,100]",0.102,0.025
"963","Contact","41-100","White","(15,35]","(Missing)","(10,100]",0.207,0.029
"964","Migrant","41-100","White","(15,35]","(Missing)","(10,100]",0.149,0.032
"965","Contact","100-300","White","(15,35]","(Missing)","(10,100]",0.31,0.032
"966","Migrant","100-300","White","(15,35]","(Missing)","(10,100]",0.232,0.042
"967","Contact",">300","White","(15,35]","(Missing)","(10,100]",0.26,0.037
"968","Migrant",">300","White","(15,35]","(Missing)","(10,100]",0.191,0.041
"969","Contact","(Missing)","White","(15,35]","(Missing)","(10,100]",0.416,0.045
"970","Migrant","(Missing)","White","(15,35]","(Missing)","(10,100]",0.324,0.059
"971","Contact","<40","Black African or Caribbean","(15,35]","(Missing)","(10,100]",0.182,0.026
"972","Migrant","<40","Black African or Caribbean","(15,35]","(Missing)","(10,100]",0.13,0.028
"973","Contact","41-100","Black African or Caribbean","(15,35]","(Missing)","(10,100]",0.255,0.035
"974","Migrant","41-100","Black African or Caribbean","(15,35]","(Missing)","(10,100]",0.187,0.036
"975","Contact","100-300","Black African or Caribbean","(15,35]","(Missing)","(10,100]",0.371,0.035
"976","Migrant","100-300","Black African or Caribbean","(15,35]","(Missing)","(10,100]",0.284,0.044
"977","Contact",">300","Black African or Caribbean","(15,35]","(Missing)","(10,100]",0.316,0.038
"978","Migrant",">300","Black African or Caribbean","(15,35]","(Missing)","(10,100]",0.237,0.043
"979","Contact","(Missing)","Black African or Caribbean","(15,35]","(Missing)","(10,100]",0.484,0.049
"980","Migrant","(Missing)","Black African or Caribbean","(15,35]","(Missing)","(10,100]",0.386,0.061
"981","Contact","<40","South Asian","(15,35]","(Missing)","(10,100]",0.13,0.018
"982","Migrant","<40","South Asian","(15,35]","(Missing)","(10,100]",0.091,0.019
"983","Contact","41-100","South Asian","(15,35]","(Missing)","(10,100]",0.187,0.026
"984","Migrant","41-100","South Asian","(15,35]","(Missing)","(10,100]",0.134,0.025
"985","Contact","100-300","South Asian","(15,35]","(Missing)","(10,100]",0.284,0.023
"986","Migrant","100-300","South Asian","(15,35]","(Missing)","(10,100]",0.21,0.029
"987","Contact",">300","South Asian","(15,35]","(Missing)","(10,100]",0.237,0.032
"988","Migrant",">300","South Asian","(15,35]","(Missing)","(10,100]",0.172,0.032
"989","Contact","(Missing)","South Asian","(15,35]","(Missing)","(10,100]",0.387,0.041
"990","Migrant","(Missing)","South Asian","(15,35]","(Missing)","(10,100]",0.298,0.049
"991","Contact","<40","Other","(15,35]","(Missing)","(10,100]",0.154,0.022
"992","Migrant","<40","Other","(15,35]","(Missing)","(10,100]",0.109,0.025
"993","Contact","41-100","Other","(15,35]","(Missing)","(10,100]",0.219,0.03
"994","Migrant","41-100","Other","(15,35]","(Missing)","(10,100]",0.159,0.032
"995","Contact","100-300","Other","(15,35]","(Missing)","(10,100]",0.326,0.033
"996","Migrant","100-300","Other","(15,35]","(Missing)","(10,100]",0.245,0.041
"997","Contact",">300","Other","(15,35]","(Missing)","(10,100]",0.275,0.037
"998","Migrant",">300","Other","(15,35]","(Missing)","(10,100]",0.203,0.04
"999","Contact","(Missing)","Other","(15,35]","(Missing)","(10,100]",0.435,0.047
"1000","Migrant","(Missing)","Other","(15,35]","(Missing)","(10,100]",0.341,0.059
"1001","Contact","<40","White","(35,55]","(Missing)","(10,100]",0.192,0.027
"1002","Migrant","<40","White","(35,55]","(Missing)","(10,100]",0.138,0.031
"1003","Contact","41-100","White","(35,55]","(Missing)","(10,100]",0.268,0.034
"1004","Migrant","41-100","White","(35,55]","(Missing)","(10,100]",0.198,0.038
"1005","Contact","100-300","White","(35,55]","(Missing)","(10,100]",0.387,0.034
"1006","Migrant","100-300","White","(35,55]","(Missing)","(10,100]",0.298,0.046
"1007","Contact",">300","White","(35,55]","(Missing)","(10,100]",0.331,0.042
"1008","Migrant",">300","White","(35,55]","(Missing)","(10,100]",0.249,0.048
"1009","Contact","(Missing)","White","(35,55]","(Missing)","(10,100]",0.501,0.046
"1010","Migrant","(Missing)","White","(35,55]","(Missing)","(10,100]",0.402,0.062
"1011","Contact","<40","Black African or Caribbean","(35,55]","(Missing)","(10,100]",0.238,0.032
"1012","Migrant","<40","Black African or Caribbean","(35,55]","(Missing)","(10,100]",0.174,0.035
"1013","Contact","41-100","Black African or Caribbean","(35,55]","(Missing)","(10,100]",0.326,0.042
"1014","Migrant","41-100","Black African or Caribbean","(35,55]","(Missing)","(10,100]",0.245,0.043
"1015","Contact","100-300","Black African or Caribbean","(35,55]","(Missing)","(10,100]",0.454,0.038
"1016","Migrant","100-300","Black African or Caribbean","(35,55]","(Missing)","(10,100]",0.358,0.048
"1017","Contact",">300","Black African or Caribbean","(35,55]","(Missing)","(10,100]",0.394,0.043
"1018","Migrant",">300","Black African or Caribbean","(35,55]","(Missing)","(10,100]",0.304,0.049
"1019","Contact","(Missing)","Black African or Caribbean","(35,55]","(Missing)","(10,100]",0.569,0.049
"1020","Migrant","(Missing)","Black African or Caribbean","(35,55]","(Missing)","(10,100]",0.469,0.064
"1021","Contact","<40","South Asian","(35,55]","(Missing)","(10,100]",0.174,0.023
"1022","Migrant","<40","South Asian","(35,55]","(Missing)","(10,100]",0.124,0.024
"1023","Contact","41-100","South Asian","(35,55]","(Missing)","(10,100]",0.245,0.033
"1024","Migrant","41-100","South Asian","(35,55]","(Missing)","(10,100]",0.179,0.031
"1025","Contact","100-300","South Asian","(35,55]","(Missing)","(10,100]",0.359,0.027
"1026","Migrant","100-300","South Asian","(35,55]","(Missing)","(10,100]",0.272,0.034
"1027","Contact",">300","South Asian","(35,55]","(Missing)","(10,100]",0.304,0.038
"1028","Migrant",">300","South Asian","(35,55]","(Missing)","(10,100]",0.227,0.038
"1029","Contact","(Missing)","South Asian","(35,55]","(Missing)","(10,100]",0.471,0.045
"1030","Migrant","(Missing)","South Asian","(35,55]","(Missing)","(10,100]",0.373,0.054
"1031","Contact","<40","Other","(35,55]","(Missing)","(10,100]",0.204,0.028
"1032","Migrant","<40","Other","(35,55]","(Missing)","(10,100]",0.147,0.031
"1033","Contact","41-100","Other","(35,55]","(Missing)","(10,100]",0.284,0.036
